topicName,text
corona,92811
hanau,9593
cdu_vorsitz,8456
thueringen,8227
fussball,5818
migration,5189
us_vorwahl,3923
brexit,2870
wendler_pocher_naidoo,2707
weinstein,2567
syrien,2382
impeachment,2275
hamburg_wahl,2071
dietmar_hopp,1913
sicherheitskonferenz_tempolimit,1744
orkan_sabine,1726
tesla,1279
israel_wahl,1263
dresden_nationalsozialismus,1173
volkmarsen,1126
serien&filme,1105
oscar,975
afghanistan,934
kommunalwahl_bayern,792
assange,777
rechtsextreme_terrorzelle,769
sterbehilfe,768
bischofskonferenz,757
superbowl,739
todesmeldungen,705
afd_verfassungsschutz,623
klinsmann,535
rundfunkbeitrag,522
royals,509
putin_verfassungsreform,446
ungarn_notstand,368
thunberg,362
bad_banks,361
libyen,355
trump_justiz,346
biathlon,335
anis_amri,327
indien,297
fake_vorwurf_joko&klaas,296
formel1,280
ski_alpin_handball,270
nordkorea,268
tennis,262
woody_allen,259
grundrente,255
iaa,250
cytotec_wehenmittel,246
dieselskandal,239
nahostplan_trump,239
zweiter_weltkrieg,227
boeing737,212
kobe_bryant,201
klima,197
jemen_alkaida,188
glyphosat,181
istanbul_flugzeugunglueck,172
geheimdienste,171
menschenrechte,166
flug_mh17,162
amoklauf_thailand,161
berlinale,156
Straßenverkehr,137
boxen,133
wittenberg,131
mubarak,121
richard_grenell,116
Uniter_verein,109
semperopernball,109
novartis_medikament,104
ronaldinho,96
jeff_bezos,95
sunyang_doping,86
esc,84
kopftuchverbot,81
chelsea_manning,80
buchmesse,69
ernesto_cardenal,50
heuschreckenplage,43
e-autos,33
